Loading (p.u.),Name,Bus1,Bus2
1.0015564093239175,Line.l(r:p17udt14344lv-p17ulv54674),p17udt14344lv.1.2,p17ulv54674.1.2
1.0120755339615863,Line.l(r:p17udm39845-p17udt10454lv),p17udt10454lv.1.2,p17udm39845.1.2
1.016852280272597,Line.l(r:p17udt1240lv-p17ulv4692),p17udt1240lv.1.2,p17ulv4692.1.2
1.0219085036843174,Line.l(r:p17udt3255lv-p17ulv12656),p17udt3255lv.1.2,p17ulv12656.1.2
1.0239022119962908,Line.l(r:p17udm32941-p17udt8643lv),p17udt8643lv.1.2,p17udm32941.1.2
1.0241794333969416,Line.l(r:p17udt3673lv-p17ulv14075),p17udt3673lv.1.2,p17ulv14075.1.2
1.0261280266699904,Line.l(r:p17udm34184-p17udt9034lv),p17udt9034lv.1.2,p17udm34184.1.2
1.032243723255327,Line.l(r:p17udm38119-p17ulv37325),p17udm38119.1.2,p17ulv37325.1.2
1.0512421318036151,Line.l(r:p17udm25947-p17udt6808lv),p17udt6808lv.1.2,p17udm25947.1.2
1.0983961419297534,Line.l(r:p17udm17003-p17ulv15958),p17udm17003.1.2,p17ulv15958.1.2
1.1299269424206215,Line.l(r:p17udm30957-p17ulv30147),p17udm30957.1.2,p17ulv30147.1.2
1.1419758335610037,Line.l(r:p17udm47007-p17udt12379lv),p17udt12379lv.1.2,p17udm47007.1.2
1.1419758526058301,Line.l(r:p17udm47007-p17ulv46921),p17udm47007.1.2,p17ulv46921.1.2
1.1544392288542586,Line.l(r:p17udm40145-p17ulv39678),p17udm40145.1.2,p17ulv39678.1.2
1.1570516633292491,Line.l(r:p17udm64420-p17ulv65971),p17udm64420.1.2,p17ulv65971.1.2
1.1584011329072517,Line.l(r:p17udm45228-p17udm45231),p17udm45231.1.2,p17udm45228.1.2
1.1616591050913947,Line.l(r:p17udt14878lv-p17ulv56400),p17udt14878lv.1.2,p17ulv56400.1.2
1.1699852562208992,Line.l(r:p17udm7809-p17udt1811lv),p17udt1811lv.1.2,p17udm7809.1.2
1.1699852867410168,Line.l(r:p17udm7809-p17ulv9315),p17udm7809.1.2,p17ulv9315.1.2
1.1815279302753738,Line.l(r:p17udm38119-p17udt10048lv),p17udt10048lv.1.2,p17udm38119.1.2
1.183292515048995,Line.l(r:p17udt14635lv-p17ulv55668),p17udt14635lv.1.2,p17ulv55668.1.2
1.1978838584046376,Line.l(r:p17udt14344lv-p17ulv54558),p17udt14344lv.1.2,p17ulv54558.1.2
1.2041102145420115,Line.l(r:p17udm54241-p17udt14337lv),p17udt14337lv.1.2,p17udm54241.1.2
1.2041102735087224,Line.l(r:p17udm54241-p17ulv54543),p17udm54241.1.2,p17ulv54543.1.2
1.216602594742293,Line.l(r:p17udm30655-p17ulv30011),p17udm30655.1.2,p17ulv30011.1.2
1.2582369443133237,Line.l(r:p17udm45077-p17udt11904lv),p17udt11904lv.1.2,p17udm45077.1.2
1.3228294353765393,Line.l(r:p17udt3351lv-p17ulv12879),p17udt3351lv.1.2,p17ulv12879.1.2
1.3687253931464953,Line.l(r:p17udt6070lv-p17ulv22437),p17udt6070lv.1.2,p17ulv22437.1.2
1.41448153045493,Line.l(r:p17udm45231-p17udt11936lv),p17udt11936lv.1.2,p17udm45231.1.2
1.4253783835046683,Line.l(r:p17udm39783-p17udt10433lv),p17udt10433lv.1.2,p17udm39783.1.2
1.4253784239328686,Line.l(r:p17udm39783-p17ulv39394),p17udm39783.1.2,p17ulv39394.1.2
1.4311121682924732,Line.l(r:p17udt10196lv-p17ulv38102),p17udt10196lv.1.2,p17ulv38102.1.2
1.4507035523969407,Line.l(r:p17udm7604-p17udt1764lv),p17udt1764lv.1.2,p17udm7604.1.2
1.4507035952169,Line.l(r:p17udm7604-p17ulv7095),p17udm7604.1.2,p17ulv7095.1.2
1.4717461485644154,Line.l(r:p17udt2390lv-p17ulv9245),p17udt2390lv.1.2,p17ulv9245.1.2
1.4976039823766594,Line.l(r:p17udt3658lv-p17ulv13954),p17udt3658lv.1.2,p17ulv13954.1.2
1.5034888094614525,Line.l(r:p17udm7567-p17udt1760lv),p17udt1760lv.1.2,p17udm7567.1.2
1.5284274149928208,Line.l(r:p17udt14863lv-p17ulv56176),p17udt14863lv.1.2,p17ulv56176.1.2
1.5843703205699857,Line.l(r:p17udm13331-p17udt3259lv),p17udt3259lv.1.2,p17udm13331.1.2
1.61705141275771,Line.l(r:p17udm7567-p17ulv6726),p17udm7567.1.2,p17ulv6726.1.2
1.6202302754773652,Line.l(r:p17udt6609lv-p17ulv25080),p17udt6609lv.1.2,p17ulv25080.1.2
1.650212629309034,Line.l(r:p17udm5568-p17udt1327lv),p17udt1327lv.1.2,p17udm5568.1.2
1.6532442765439175,Line.l(r:p17udt6788lv-p17ulv24966),p17udt6788lv.1.2,p17ulv24966.1.2
1.65377488958511,Line.l(r:p17udt2607lv-p17ulv10010),p17udt2607lv.1.2,p17ulv10010.1.2
1.6689536341191253,Line.l(r:p17udm14991-p17ulv14083),p17udm14991.1.2,p17ulv14083.1.2
1.6752717420677103,Line.l(r:p17udm40124-p17udt10528lv),p17udt10528lv.1.2,p17udm40124.1.2
1.675271878705862,Line.l(r:p17udm40124-p17ulv42657),p17udm40124.1.2,p17ulv42657.1.2
1.6991621688619771,Line.l(r:p17udm46961-p17udt12366lv),p17udt12366lv.1.2,p17udm46961.1.2
1.7050937998425966,Line.l(r:p17udm56604-p17udt15028lv),p17udt15028lv.1.2,p17udm56604.1.2
1.705093926809943,Line.l(r:p17udm56604-p17ulv57170),p17udm56604.1.2,p17ulv57170.1.2
1.7230449471558378,Line.l(r:p17udm13331-p17ulv12852),p17udm13331.1.2,p17ulv12852.1.2
1.7615628646832542,Line.l(r:p17udt14622lv-p17ulv55373),p17udt14622lv.1.2,p17ulv55373.1.2
1.762083808637191,Line.l(r:p17udm6796-p17udt1609lv),p17udt1609lv.1.2,p17udm6796.1.2
1.7813404911343538,Line.l(r:p17udm6793-p17udt1609lv),p17udt1609lv.1.2,p17udm6793.1.2
1.7825148057078986,Line.l(r:p17udm14991-p17ulv14048),p17udm14991.1.2,p17ulv14048.1.2
1.7827246670229446,Line.l(r:p17udm14546-p17udt3557lv),p17udt3557lv.1.2,p17udm14546.1.2
1.7827247047720787,Line.l(r:p17udm14546-p17ulv45006),p17udm14546.1.2,p17ulv45006.1.2
1.8277821854266023,Line.l(r:p17udt2390lv-p17ulv9322),p17udt2390lv.1.2,p17ulv9322.1.2
1.8408093906639424,Line.l(r:p17udm46961-p17ulv48080),p17udm46961.1.2,p17ulv48080.1.2
1.848837338296895,Line.l(r:p17udt7933lv-p17ulv30038),p17udt7933lv.1.2,p17ulv30038.1.2
1.8774763180767535,Line.l(r:p17udt11958lv-p17ulv45012),p17udt11958lv.1.2,p17ulv45012.1.2
1.8960367191408725,Line.l(r:p17udm5568-p17ulv5196),p17udm5568.1.2,p17ulv5196.1.2
1.8966732719843518,Line.l(r:p17udm47041-p17udt12386lv),p17udt12386lv.1.2,p17udm47041.1.2
1.9056509725766007,Line.l(r:p17udt2059lv-p17ulv7921),p17udt2059lv.1.2,p17ulv7921.1.2
1.925194592214795,Line.l(r:p17udt12437lv-p17ulv46964),p17udt12437lv.1.2,p17ulv46964.1.2
1.9254625737301527,Line.l(r:p17udm6793-p17ulv6034),p17udm6793.1.2,p17ulv6034.1.2
1.9274514094416049,Line.l(r:p17udm6796-p17ulv7920),p17udm6796.1.2,p17ulv7920.1.2
1.9520648349210772,Line.l(r:p17udt15028lv-p17ulv57722),p17udt15028lv.1.2,p17ulv57722.1.2
1.964659038200644,Line.l(r:p17udt11895lv-p17ulv44917),p17udt11895lv.1.2,p17ulv44917.1.2
1.9792606676007436,Line.l(r:p17udm47038-p17udm47041),p17udm47041.1.2,p17udm47038.1.2
1.9792612127902123,Line.l(r:p17udm47038-p17ulv46769),p17udm47038.1.2,p17ulv46769.1.2
1.9818979734282163,Line.l(r:p17udm47083-p17udt12400lv),p17udt12400lv.1.2,p17udm47083.1.2
1.9818979836005173,Line.l(r:p17udm47083-p17ulv46752),p17udm47083.1.2,p17ulv46752.1.2
1.9838369335464274,Line.l(r:p17udm65927-p17udt17489lv),p17udt17489lv.1.2,p17udm65927.1.2
1.9838370958017104,Line.l(r:p17udm65927-p17ulv67495),p17udm65927.1.2,p17ulv67495.1.2
