Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.007764452368393,Transformer.tr(r:p17udt10308-p17udt10308lv),p17udt10308,75.0,3
1.0462509138217553,Transformer.tr(r:p17udt8256-p17udt8256lv),p17udt8256.2,50.0,1
1.0620899946432065,Transformer.tr(r:p17udt10535-p17udt10535lv),p17udt10535.1,50.0,1
1.0672509691498377,Transformer.tr(r:p17udt10324-p17udt10324lv),p17udt10324.1,50.0,1
1.0913395438476508,Transformer.tr(r:p17udt14635-p17udt14635lv),p17udt14635.1,25.0,1
1.1554580423928615,Transformer.tr(r:p17udt3674-p17udt3674lv),p17udt3674.3,50.0,1
1.1813003410116019,Transformer.tr(r:p17udt3384-p17udt3384lv),p17udt3384.3,50.0,1
1.2347624201920893,Transformer.tr(r:p17udt17055-p17udt17055lv),p17udt17055.3,50.0,1
1.2651545912912434,Transformer.tr(r:p17udt14381-p17udt14381lv),p17udt14381.1,50.0,1
1.2759958414053156,Transformer.tr(r:p17udt10021-p17udt10021lv),p17udt10021.2,50.0,1
1.282926944955655,Transformer.tr(r:p17udt17019-p17udt17019lv),p17udt17019.2,50.0,1
1.2910496469762023,Transformer.tr(r:p17udt12386-p17udt12386lv),p17udt12386.1,75.0,1
1.3354256455150681,Transformer.tr(r:p17udt4164-p17udt4164lv),p17udt4164.2,50.0,1
1.3680654626160642,Transformer.tr(r:p17udt14873-p17udt14873lv),p17udt14873,100.0,3
1.3935492385355406,Transformer.tr(r:p17udt2604-p17udt2604lv),p17udt2604.3,50.0,1
1.3993403066510222,Transformer.tr(r:p17udt1818-p17udt1818lv),p17udt1818.2,25.0,1
1.4107915881436406,Transformer.tr(r:p17udt14344-p17udt14344lv),p17udt14344.2,75.0,1
1.436044277064803,Transformer.tr(r:p17udt1164-p17udt1164lv),p17udt1164.1,50.0,1
1.4551725609481427,Transformer.tr(r:p17udt3351-p17udt3351lv),p17udt3351.1,25.0,1
1.4755984818750831,Transformer.tr(r:p17udt3673-p17udt3673lv),p17udt3673.3,50.0,1
