OpenDSS Value (p.u.),Bus
1.0500010280113121,p17ulv15909
1.0508401725818546,p17udm47083
1.0510711635342875,p17ulv46842
1.0511554019626248,p17udm45053
1.0512166930786337,p17udm55177
1.0516937432310556,p17udm30589
1.0522995415966436,p17udm21023
1.05261891680569,p17ulv46921
1.0527617430350265,p17ulv12973
1.0539376113881724,p17ulv56218
1.0546900339018233,p17ulv46794
1.0553746485748603,p17ulv15768
1.0555534230463008,p17ulv12879
1.0564419258502,p17ulv54738
1.0565358322521192,p17ulv56176
1.0579916437615509,p17udm47106
1.0602396062275488,p17ulv56600
1.0602893746263158,p17udm14991
1.0610994983447504,p17ulv54834
1.06141473564496,p17ulv29690
1.061931965099695,p17ulv54831
1.0620084934579805,p17ulv46752
1.0623517499076829,p17ulv7000
1.062807817213175,p17ulv14083
1.0629925231382789,p17ulv12852
1.063212279232356,p17ulv29648
1.0635338205805556,p17udm47038
1.0637359014961136,p17ulv29944
1.0647976603792095,p17udm54380
1.0651849410878806,p17ulv54558
1.0687273194854108,p17ulv54760
1.0693208645511387,p17ulv44922
1.0696027410299793,p17ulv20105
1.069840240790493,p17ulv30147
1.0702774868695646,p17ulv55628
1.070603877648333,p17ulv15503
1.0718156574387068,p17ulv46769
1.0731854061454733,p17ulv14048
1.0798081076412072,p17ulv54543
1.081098366623224,p17ulv46778
1.0814000589197734,p17ulv46964
1.0840989851211034,p17ulv54728
1.0863844054590244,p17ulv56400
