Loading (p.u.),Name,Bus1,Bus2
1.0067748216306893,Line.l(r:p17udt1240lv-p17ulv4692),p17udt1240lv.1.2,p17ulv4692.1.2
1.0435366911981943,Line.l(r:p17udm25947-p17udt6808lv),p17udt6808lv.1.2,p17udm25947.1.2
1.1600827599360661,Line.l(r:p17udm64420-p17ulv65971),p17udm64420.1.2,p17ulv65971.1.2
1.4536311245637623,Line.l(r:p17udm39783-p17udt10433lv),p17udt10433lv.1.2,p17udm39783.1.2
1.4536311872374583,Line.l(r:p17udm39783-p17ulv39394),p17udm39783.1.2,p17ulv39394.1.2
1.6540063004562482,Line.l(r:p17udt6609lv-p17ulv25080),p17udt6609lv.1.2,p17ulv25080.1.2
2.0215985538157137,Line.l(r:p17udm39782-p17udt10433lv),p17udt10433lv.1.2,p17udm39782.1.2
2.021598636120307,Line.l(r:p17udm39782-p17ulv39293),p17udm39782.1.2,p17ulv39293.1.2
2.0223599532266214,Line.l(r:p17udt4643lv-p17ulv17854),p17udt4643lv.1.2,p17ulv17854.1.2
2.07859010553419,Line.l(r:p17udm18775-p17udt4639lv),p17udt4639lv.1.2,p17udm18775.1.2
2.078590264799308,Line.l(r:p17udm18775-p17ulv17850),p17udm18775.1.2,p17ulv17850.1.2
2.1749019304559307,Line.l(r:p17udm18784-p17udt4643lv),p17udt4643lv.1.2,p17udm18784.1.2
2.174902077714164,Line.l(r:p17udm18784-p17ulv17889),p17udm18784.1.2,p17ulv17889.1.2
2.5270963233423487,Line.l(r:p17udm31773-p17udt8275lv),p17udt8275lv.1.2,p17udm31773.1.2
2.5270964704806467,Line.l(r:p17udm31773-p17ulv30801),p17udm31773.1.2,p17ulv30801.1.2
2.6288646022895557,Line.l(r:p17udt6830lv-p17ulv25069),p17udt6830lv.1.2,p17ulv25069.1.2
