Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.1442680100647482,Transformer.tr(r:p17udt3674-p17udt3674lv),p17udt3674.3,50.0,1
1.2896597853620075,Transformer.tr(r:p17udt10021-p17udt10021lv),p17udt10021.2,50.0,1
1.380917647790864,Transformer.tr(r:p17udt2604-p17udt2604lv),p17udt2604.3,50.0,1
1.4242359914140896,Transformer.tr(r:p17udt1164-p17udt1164lv),p17udt1164.1,50.0,1
1.4614666204911304,Transformer.tr(r:p17udt3673-p17udt3673lv),p17udt3673.3,50.0,1
1.5027707330258893,Transformer.tr(r:p17udt6070-p17udt6070lv),p17udt6070.3,25.0,1
1.6253297449385553,Transformer.tr(r:p17udt1760-p17udt1760lv),p17udt1760.3,25.0,1
1.7435751613727744,Transformer.tr(r:p17udt1327-p17udt1327lv),p17udt1327.3,25.0,1
1.9224828850163234,Transformer.tr(r:p17udt14622-p17udt14622lv),p17udt14622.3,25.0,1
1.9281517336358986,Transformer.tr(r:p17udt14584-p17udt14584lv),p17udt14584.3,25.0,1
2.1905126007467643,Transformer.tr(r:p17udt2619-p17udt2619lv),p17udt2619.1,25.0,1
2.204702055305265,Transformer.tr(r:p17udt1811-p17udt1811lv),p17udt1811.3,25.0,1
2.259665602048121,Transformer.tr(r:p17udt1832-p17udt1832lv),p17udt1832.2,25.0,1
2.3802894290172376,Transformer.tr(r:p17udt2059-p17udt2059lv),p17udt2059.2,50.0,1
2.6238905814429585,Transformer.tr(r:p17udt1764-p17udt1764lv),p17udt1764.1,25.0,1
2.973927665660062,Transformer.tr(r:p17udt6072-p17udt6072lv),p17udt6072.3,25.0,1
3.312222996504734,Transformer.tr(r:p17udt3658-p17udt3658lv),p17udt3658.3,25.0,1
