OpenDSS Value (p.u.),Bus
0.9916925561393204,p17ulv7113
0.995141446046293,p17ulv37325
0.9958988790579494,p17ulv57207
0.9961242731353004,p17ulv34388
0.9964253935781248,p17ulv33640
0.9965041048249201,p17ulv38227
0.9969679666259013,p17udm35205
0.9972142105309072,p17udm7798
0.9977185572084692,p17ulv57759
0.99783475480608,p17udm38780
0.998289732784374,p17ulv34578
0.9985291845456783,p17ulv37825
0.9988871360505123,p17ulv37803
0.9989347141187537,p17ulv15937
0.9990596045077731,p17ulv34586
0.9991318211524396,p17udm35208
0.9992031104232044,p17ulv57262
0.999283276388534,p17udm38547
0.9993926532101374,p17udm38119
0.9994644646685769,p17ulv57440
0.9994648455184916,p17ulv37491
0.9996246819011649,p17ulv57144
0.9996276364467533,p17ulv57293
0.9997591083166975,p17udm38545
0.999794006365444,p17ulv13960
0.999841944457269,p17ulv34478
0.9998678648183974,p17udm34186
0.999895538719291,p17udm56874
0.9999076651118071,p17ulv57566
1.000052435837245,p17ulv38107
1.0002161700209138,p17ulv13879
1.000564135969804,p17udm14898
1.0006229739911938,p17ulv6795
1.0006364796124627,p17ulv37535
1.0008781643783626,p17ulv57427
1.0008944995141567,p17ulv37611
1.0009369770962309,p17udm35353
1.0009502998621587,p17ulv34662
1.0010571835455009,p17ulv57158
1.0010626816593444,p17udm56535
1.0010953376422025,p17udm38549
1.0012027925961142,p17udm56536
1.001290138720407,p17ulv34450
1.001314011223192,p17ulv37631
1.001334416192817,p17ulv57500
1.0014284593412022,p17ulv57680
1.0015832680137045,p17ulv34352
1.0017699095752057,p17ulv34710
1.0017825360755688,p17udm56557
1.0019868989089171,p17ulv32024
1.0019972646424666,p17udm23430
1.0020087711193089,p17udm56556
1.002108498920514,p17udm35202
1.0021232387931067,p17ulv13915
1.0021692311576231,p17udm38139
1.002169793410629,p17udt15012lv
1.0021831458586825,p17ulv57939
1.002309426824156,p17ulv34523
1.0023758476387168,p17ulv57150
1.0024375112687247,p17ulv34739
1.0024576325815269,p17ulv57159
1.0024710552785852,p17ulv57241
1.0024944800292652,p17ulv37813
1.002525039343313,p17ulv57893
1.002571700001394,p17udm56879
1.0025984346066061,p17ulv57703
